HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,ForecastDate,yhat,yhat_lower,yhat_upper
S08000015,NHS Ayrshire & Arran,A1,General Surgery,Inpatient/Day case,2026-04-01,9.26,0.0,19.76
S08000015,NHS Ayrshire & Arran,A1,General Surgery,Inpatient/Day case,2026-05-01,9.1,0.0,19.7
S08000015,NHS Ayrshire & Arran,A1,General Surgery,Inpatient/Day case,2026-06-01,10.81,0.0,20.83
S08000015,NHS Ayrshire & Arran,A1,General Surgery,Inpatient/Day case,2026-07-01,10.65,0.12,20.71
S08000015,NHS Ayrshire & Arran,A1,General Surgery,Inpatient/Day case,2026-08-01,13.14,3.28,23.49
S08000015,NHS Ayrshire & Arran,A1,General Surgery,Inpatient/Day case,2026-09-01,14.96,4.65,25.86
S08000015,NHS Ayrshire & Arran,A1,General Surgery,New Outpatient,2026-04-01,35.88,25.35,46.25
S08000015,NHS Ayrshire & Arran,A1,General Surgery,New Outpatient,2026-05-01,37.28,27.44,47.35
S08000015,NHS Ayrshire & Arran,A1,General Surgery,New Outpatient,2026-06-01,42.96,31.91,53.01
S08000015,NHS Ayrshire & Arran,A1,General Surgery,New Outpatient,2026-07-01,41.99,32.23,53.19
S08000015,NHS Ayrshire & Arran,A1,General Surgery,New Outpatient,2026-08-01,39.41,29.17,49.7
S08000015,NHS Ayrshire & Arran,A1,General Surgery,New Outpatient,2026-09-01,37.32,26.23,47.78
S08000015,NHS Ayrshire & Arran,A2,Specialty (A2),Inpatient/Day case,2026-04-01,3.51,0.0,10.66
S08000015,NHS Ayrshire & Arran,A2,Specialty (A2),Inpatient/Day case,2026-05-01,4.7,0.0,12.27
S08000015,NHS Ayrshire & Arran,A2,Specialty (A2),Inpatient/Day case,2026-06-01,3.47,0.0,11.3
S08000015,NHS Ayrshire & Arran,A2,Specialty (A2),Inpatient/Day case,2026-07-01,4.66,0.0,11.58
S08000015,NHS Ayrshire & Arran,A2,Specialty (A2),Inpatient/Day case,2026-08-01,6.62,0.0,13.78
