HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,RiskRating,PriorityScore,CurrentPctOver12Weeks,PeakForecast,MeanForecast,FinalForecast,ForecastUncertainty,ForecastDateMax,TrendDirection,TrendSlope,CurrentMedianWaitWeeks,Current90thPctWaitWeeks,NumberWaiting,NumberWaitingOver12Weeks,Additions,Removals,NetPressure
SB0801,Unknown (SB0801),Z9,All Specialties,New Outpatient,RED,3.5,85.48,90.33,87.11,89.02,24.58,2026-09-01,Worsening,2.74,197.0,389.0,4285.0,3663.0,1168.0,7032.0,-5864.0
S08000015,NHS Ayrshire & Arran,A9,Specialty (A9),New Outpatient,RED,3.5,66.48,83.44,80.21,83.44,34.01,2026-09-01,Worsening,1.2,137.0,266.0,2470.0,1642.0,946.0,536.0,410.0
S08000032,NHS Lanarkshire,AH,Specialty (AH),New Outpatient,RED,3.5,45.44,72.45,69.78,72.38,34.74,2026-09-01,Worsening,0.6,76.0,222.0,1624.0,738.0,1065.0,1086.0,-21.0
S08000032,NHS Lanarkshire,AG,Specialty (AG),New Outpatient,RED,3.5,58.56,73.37,70.31,71.35,51.14,2026-09-01,Worsening,4.24,104.0,228.0,374.0,219.0,162.0,97.0,65.0
S08000032,NHS Lanarkshire,AG,Specialty (AG),Inpatient/Day case,RED,3.5,50.0,54.7,49.1,47.28,69.19,2026-09-01,Worsening,8.56,,,14.0,7.0,14.0,9.0,5.0
S08000022,NHS Highland,AG,Specialty (AG),Inpatient/Day case,RED,3.5,100.0,55.89,21.54,35.12,39.51,2026-09-01,Worsening,16.47,,,2.0,2.0,4.0,6.0,-2.0
S08000022,NHS Highland,C5,Gynaecology,Inpatient/Day case,RED,3.5,59.71,64.89,61.54,58.47,22.32,2026-09-01,Worsening,1.57,118.0,237.0,762.0,455.0,338.0,368.0,-30.0
S08000029,NHS Fife,CB,Specialty (CB),Inpatient/Day case,RED,3.5,53.87,69.52,67.13,66.56,31.66,2026-09-01,Worsening,1.63,102.0,236.0,891.0,480.0,572.0,602.0,-30.0
S08000028,NHS Western Isles,C5,Gynaecology,New Outpatient,RED,3.5,56.9,54.83,52.52,53.98,37.76,2026-09-01,Worsening,0.75,111.0,222.8,232.0,132.0,140.0,123.0,17.0
S08000029,NHS Fife,C8,Neurosurgery,Inpatient/Day case,RED,3.5,63.38,84.83,83.15,83.81,30.53,2026-09-01,Worsening,0.53,126.0,334.0,2676.0,1696.0,1068.0,1320.0,-252.0
S08000016,NHS Borders,A9,Specialty (A9),New Outpatient,RED,3.5,52.81,71.48,67.72,71.48,36.18,2026-09-01,Worsening,2.19,103.0,246.0,462.0,244.0,270.0,196.0,74.0
S08000016,NHS Borders,A81,Specialty (A81),New Outpatient,RED,3.5,70.0,63.37,58.66,63.37,36.2,2026-09-01,Worsening,3.87,146.0,271.3,150.0,105.0,69.0,99.0,-30.0
S08000016,NHS Borders,A8,Specialty (A8),New Outpatient,RED,3.5,56.41,75.36,71.1,74.82,45.58,2026-09-01,Worsening,2.1,104.0,181.0,78.0,44.0,43.0,50.0,-7.0
S08000022,NHS Highland,C1,Cardiothoracic Surgery,Inpatient/Day case,RED,3.5,48.28,53.78,51.46,48.45,19.55,2026-09-01,Worsening,1.82,79.0,202.4,1164.0,562.0,885.0,794.0,91.0
S08000020,NHS Grampian,CA,Specialty (CA),Inpatient/Day case,RED,3.5,39.51,63.57,61.96,63.57,52.97,2026-09-01,Worsening,2.24,62.5,187.7,162.0,64.0,179.0,182.0,-3.0
S08000022,NHS Highland,A3,Specialty (A3),New Outpatient,RED,3.5,54.05,68.97,62.52,68.97,34.69,2026-09-01,Worsening,3.82,110.0,218.0,37.0,20.0,20.0,14.0,6.0
S08000032,NHS Lanarkshire,C12,Thoracic Surgery,Inpatient/Day case,RED,3.5,36.32,64.24,63.19,64.23,44.0,2026-09-01,Worsening,1.26,60.0,188.0,201.0,73.0,239.0,187.0,52.0
S08000022,NHS Highland,D1,Neurology,Inpatient/Day case,RED,3.5,46.38,58.11,52.07,47.37,52.44,2026-09-01,Worsening,3.9,62.0,193.0,138.0,64.0,75.0,62.0,13.0
S08000030,NHS Tayside,AQ,Specialty (AQ),Inpatient/Day case,RED,3.5,42.86,57.47,47.87,57.47,76.62,2026-09-01,Worsening,2.47,,,7.0,3.0,19.0,18.0,1.0
S08000030,NHS Tayside,AF,Specialty (AF),Inpatient/Day case,RED,3.5,70.0,85.78,78.62,72.51,49.31,2026-09-01,Worsening,2.44,,,10.0,7.0,3.0,7.0,-4.0
S08000026,NHS Shetland,C8,Neurosurgery,Inpatient/Day case,RED,3.5,100.0,68.51,45.21,49.4,72.61,2026-09-01,Worsening,18.52,,,1.0,1.0,0.0,1.0,-1.0
S08000016,NHS Borders,C7,Orthopaedics,Inpatient/Day case,RED,3.5,21.14,62.14,57.61,60.36,57.54,2026-09-01,Worsening,1.04,54.0,110.0,544.0,115.0,446.0,426.0,20.0
S08000016,NHS Borders,C5,Gynaecology,New Outpatient,RED,3.5,39.97,62.69,59.81,62.57,49.35,2026-09-01,Worsening,3.59,62.5,168.0,578.0,231.0,628.0,511.0,117.0
S08000030,NHS Tayside,A81,Specialty (A81),Inpatient/Day case,RED,3.5,100.0,59.84,47.1,56.94,62.47,2026-09-01,Worsening,3.2,,,4.0,4.0,1.0,1.0,0.0
S08000030,NHS Tayside,A7,Specialty (A7),Inpatient/Day case,RED,3.5,25.0,67.19,55.43,67.19,75.71,2026-09-01,Worsening,14.65,,,4.0,1.0,22.0,20.0,2.0
S08000026,NHS Shetland,D3,Gastroenterology,Inpatient/Day case,RED,3.5,56.52,52.22,45.16,46.75,45.44,2026-09-01,Worsening,1.37,112.0,275.6,23.0,13.0,12.0,13.0,-1.0
S08000022,NHS Highland,CA,Specialty (CA),New Outpatient,RED,3.5,46.28,52.22,48.9,50.3,31.1,2026-09-01,Worsening,3.85,78.0,155.0,121.0,56.0,69.0,34.0,35.0
S08000022,NHS Highland,CA,Specialty (CA),Inpatient/Day case,RED,3.5,62.07,61.26,57.87,55.93,40.49,2026-09-01,Worsening,4.77,105.0,204.2,29.0,18.0,10.0,14.0,-4.0
S08000032,NHS Lanarkshire,CA,Specialty (CA),New Outpatient,RED,3.5,67.41,61.3,59.44,61.3,48.54,2026-09-01,Worsening,2.29,141.0,271.7,224.0,151.0,82.0,79.0,3.0
S08000032,NHS Lanarkshire,CA,Specialty (CA),Inpatient/Day case,RED,3.5,58.14,88.19,85.9,85.12,39.95,2026-09-01,Worsening,1.1,130.0,238.0,43.0,25.0,22.0,23.0,-1.0
